school_name,lng_wgs84,lat_wgs84
河北地质大学,114.5221288,38.02027521
河北工业大学,117.1600592,39.17782743
华北理工大学,118.5923672,39.20354469
河北科技大学,114.509697,37.9780912
河北建筑工程学院,114.8910989,40.75463173
河北水利电力学院,116.799127,38.2946845
河北农业大学,115.4395702,38.82622064
河北医科大学,114.543521,38.01337909
河北北方学院,114.8851964,40.77148291
承德医学院,117.9508872,41.031151
河北师范大学,114.51886,37.99833113
保定学院,115.5714066,38.87956667
河北民族师范学院,117.9523264,40.89085728
唐山师范学院,118.7540683,39.7361096
廊坊师范学院,116.6667706,39.52584111
衡水学院,115.655787,37.74180568
石家庄学院,114.5944578,38.01898608
邯郸学院,114.5042538,36.57778842
邢台学院,114.4987539,37.08875622
沧州师范学院,116.777898,38.28451619
石家庄铁道大学,114.3617269,37.88006337
燕山大学,119.5182011,39.90970387
河北科技师范学院,119.5423834,39.91105302
唐山学院,118.2130392,39.6195103
华北科技学院,116.7978341,39.95579182
中国人民警察大学,116.656822,39.5306507
河北体育学院,114.5318555,38.04055282
河北金融学院,115.4928849,38.91863186
北华航天工业学院,116.7266505,39.5266986
防灾科技学院,116.7940724,39.95401495
河北经贸大学,114.4511054,38.0073669
中央司法警官学院,115.5085361,38.88049955
河北传媒学院,114.6583708,37.90628219
河北工程技术学院,114.4563139,37.99574122
河北美术学院,114.7136591,38.34425078
河北科技学院,115.4864077,38.81343563
河北外国语学院,114.448808,37.99578295
河北大学工商学院,115.5588499,38.87927782
华北理工大学轻工学院,118.5923672,39.20354469
河北工业职业技术大学,114.008061,38.243935
河北师范大学汇华学院,114.4578491,38.00556847
河北经贸大学经济管理学院,114.451497,38.00571868
河北医科大学临床学院,114.5427294,38.01618913
河北科技工程职业技术大学,114.452016,37.085541
河北工程大学科信学院,114.5028265,36.57167856
河北石油职业技术大学,117.960405,40.901792
燕山大学里仁学院,119.5211182,39.90493909
石家庄铁道大学四方学院,114.4037061,37.88372259
河北地质大学华信学院,114.4498511,37.99364493
河北农业大学现代科技学院,115.4436818,38.82741514
华北理工大学冀唐学院,118.0847259,39.58137343
保定理工学院,115.4789619,38.81472099
燕京理工学院,116.7983488,39.99922477
北京中医药大学东方学院,116.7507123,39.58864384
沧州交通学院,117.314538,38.384839
河北东方学院,116.7429262,39.59506646
河北中医学院,114.3402419,38.05594159
张家口学院,114.8624686,40.84161095
河北环境工程学院,119.4469024,39.86710897
邯郸职业技术学院,114.5055995,36.58244761
石家庄职业技术学院,114.4002024,38.0461233
张家口职业技术学院,114.9106152,40.7302099
河北软件职业技术学院,115.5383913,38.86704614
河北石油职业技术学院,116.6695149,39.52174461
河北建材职业技术学院,119.5559069,39.91242792
河北政法职业学院,114.494373,38.1278258
沧州职业技术学院,116.8174725,38.28166171
河北能源职业技术学院,118.1855561,39.64389996
石家庄铁路职业技术学院,114.5210257,38.08768705
保定职业技术学院,115.5129909,38.88015235
秦皇岛职业技术学院,119.4755364,39.83814519
石家庄工程职业学院,114.4330972,38.17019192
石家庄城市经济职业学院,114.747651,37.75989923
唐山职业技术学院,118.0845137,39.58368196
衡水职业技术学院,115.675161,37.69831824
唐山工业职业技术学院,118.2209636,39.62941982
邢台医学高等专科学校,114.3610114,37.17792211
河北艺术职业学院,114.5126337,38.0368805
河北旅游职业学院,117.9472665,40.90072744
石家庄财经职业学院,114.2770263,38.113515
河北交通职业技术学院,114.6371061,38.02658366
河北化工医药职业技术学院,114.5975711,37.98901292
石家庄信息工程职业学院,114.6758046,38.149904
河北对外经贸职业学院,119.4214477,39.79978724
保定电力职业技术学院,115.4431082,38.8506836
河北机电职业技术学院,114.4531449,37.09423716
渤海石油职业学院,116.0518655,38.71890311
廊坊职业技术学院,116.7379457,39.61438964
唐山科技职业技术学院,118.2323773,39.59662475
石家庄邮电职业技术学院,114.5514508,38.01868424
河北公安警察职业学院,114.4651566,37.99857384
石家庄工商职业学院,114.466021,37.99439082
石家庄理工职业学院,114.345007,38.05170857
石家庄科技信息职业学院,114.407206,38.3073544
河北司法警官职业学院,114.4835561,36.64798288
沧州医学高等专科学校,116.7977283,38.28417564
河北女子职业技术学院,114.4426365,37.99742973
石家庄医学高等专科学校,114.4116,38.26127786
石家庄经济职业学院,114.4102372,38.05991394
冀中职业学院,115.5046559,38.85485174
